class,term,week,subject,topic,agegroup,context
Jss 2,Noel Term,1,English Language,"Reading to Understand the Writer's Purpose",11-12,"Learning to identify the author's intention in passages (to persuade, inform, convince, entertain, etc.) by recognizing key words and expressions that signal the writer's purpose, using passages on contemporary issues like HIV/AIDS, corruption, road safety"
Jss 2,Noel Term,2,English Language,"Reading for Word Meanings in Context",11-12,"Using context clues from surrounding words, phrases, and sentences to figure out meanings of unfamiliar words, learning to identify alternative words that fit the context, and using prior knowledge to infer word meanings"
Jss 2,Noel Term,3,English Language,"Critical Reading - Facts and Opinions",11-12,"Understanding critical reading as evaluating information presented, learning the steps (surveying, skimming, line-by-line reading, recalling, re-reading), and distinguishing between facts (verifiable statements) and opinions (personal beliefs) in passages"
Jss 2,Noel Term,4,English Language,"Reading for Speed",11-12,"Learning conditions for speed reading including good eyesight, avoiding word vocalization, avoiding regressive reading, increasing eye span, reading phrases instead of words, and practicing techniques like surveying, scanning, and skimming"
Jss 2,Noel Term,5,English Language,"Reading for Summary - Identifying Key Ideas",11-12,"Learning to identify topic sentences (main idea of paragraph), key ideas in different paragraphs, and words/expressions that signal main points in passages on national issues like unemployment, poverty, insecurity, religious conflicts"
Jss 2,Noel Term,6,English Language,"Writing an Outline",11-12,"Learning to organize ideas before writing by identifying main and supporting ideas, arranging ideas in logical sequence, and writing appropriate introduction and conclusion for essays and passages on contemporary topics"
Jss 2,Noel Term,7,English Language,"Composition Writing - Types and Elements",11-12,"Understanding different types of composition (narrative, descriptive, argumentative, expository), learning the elements of composition (pre-writing, writing, editing) with focus on introduction, body, and conclusion, especially expository and argumentative essays"
Jss 2,Noel Term,8,English Language,"Letter Writing - Formal and Informal",11-12,"Learning the differences between formal letters (two addresses, formal salutation, specific format) and informal letters (one address, casual tone), understanding appropriate formats and conventions for different situations and purposes"
Jss 2,Noel Term,9,English Language,"Summary Writing - Consumer and Social Influence",11-12,"Practicing summary writing skills using passages on consumer topics including roles of consumers in the market, factors influencing buying decisions, and types of consumer decision-making processes (impulse buying, routine response, rational buying)"
Jss 2,Noel Term,10,English Language,"Oral Comprehension - Listening Skills",11-12,"Developing listening comprehension by identifying main ideas, key terms, writer's moods and intentions from speeches and materials on topics like family, discipline, infectious diseases, peace, examination malpractice, environment, and cultural practices"
Jss 2,Calvary Term,1,English Language,"Speeches - Intonation, Stress and Rhythm",11-12,"Learning to identify and use correct intonation patterns in statements, questions, and commands, recognizing correct pause points in sentences, and identifying appropriate rhythm in poems on human rights, gender issues, value re-orientation, peace education"
Jss 2,Calvary Term,2,English Language,"Speeches - Question Tags",11-12,"Understanding and using question tags correctly (e.g., 'isn't she?', 'isn't he?'), learning appropriate stress and intonation patterns when forming questions and their tags, and practicing responses to tag questions"
Jss 2,Calvary Term,3,English Language,"Revision of Sounds - Vowels and Consonants",11-12,"Reviewing and practicing accurate pronunciation of all English vowel sounds (a, e, i, o, u) and consonant sounds (t, g, k, l, p, s, etc.) both in isolation and in context, including consonant clusters"
Jss 2,Calvary Term,4,English Language,"Parts of Speech - Nouns, Pronouns, Verbs, Adjectives",11-12,"Identifying and understanding the features and functions of nouns (naming words), pronouns (replacement words), verbs (action/state words), and adjectives (describing words) in passages, and making correct sentences using these parts of speech"
Jss 2,Calvary Term,5,English Language,"Parts of Speech - Adverbs, Conjunctions, Prepositions",11-12,"Learning to identify adverbs (modify verbs), conjunctions (joining words), and prepositions (position/relationship words) in passages on gender issues, population/family life, and peace, understanding their functions and making sentences with them"
Jss 2,Calvary Term,6,English Language,"Adverbials and Tenses",11-12,"Understanding kinds of adverbials (reason, purpose, condition, contrast) and their use in sentences, learning to identify and use different tenses (present, past, future) correctly in context with passages on culture, human rights, indiscipline"
Jss 2,Calvary Term,7,English Language,"Active and Passive Verbs",11-12,"Learning to identify active voice (subject performs action) and passive voice (subject receives action) in passages on conflict resolution, corruption, unemployment, and entrepreneurship, practicing conversion between active and passive forms"
Jss 2,Calvary Term,8,English Language,"Direct and Indirect Speech",11-12,"Understanding the difference between direct speech (exact words spoken) and indirect/reported speech (paraphrased words), learning to convert statements, commands, and requests from direct to indirect speech and vice versa"
Jss 2,Calvary Term,9,English Language,"Prose - Short Stories and Novelettes",11-12,"Reading and analyzing short stories and novelettes on climate change, road crashes, honesty and fair play, identifying types of prose (narrative, descriptive) and features like plot, characterization, setting, theme, language, and moral lessons"
Jss 2,Calvary Term,10,English Language,"Nigerian and African Folktales",11-12,"Learning about features of folktales (didactic, entertaining, magical, riddles), retelling and explaining Nigerian and African folktales, identifying moral lessons, and understanding the cultural significance of oral storytelling traditions"
Jss 2,Summer Term,1,English Language,"Popular Myths and Legends",11-12,"Studying African and non-African myths and legends, identifying their features (magic, supernatural, superstitious elements), understanding themes, learning moral lessons, and appreciating how myths explain natural phenomena and cultural beliefs"
Jss 2,Summer Term,2,English Language,"Poetry - Types and Language",11-12,"Reading and analyzing different types of poems (narratives, ballads), understanding the unique language of poetry (concise, figurative, elevated), explaining meanings of poems, and writing simple poems using poetic techniques"
Jss 2,Summer Term,3,English Language,"Drama - Kinds and Features",11-12,"Reading and dramatizing plays, identifying different kinds of drama and their features, understanding the message/theme of dramatic texts, recognizing essential props and costumes, and writing simple plays with proper dramatic structure"
Jss 2,Summer Term,4,English Language,"Figures of Speech - Irony and Hyperbole",11-12,"Understanding irony (saying opposite of literal meaning for humorous effect) and hyperbole (deliberate exaggeration for emphasis), identifying these figures of speech in literature texts, and constructing sentences using irony and hyperbole correctly"
Jss 2,Summer Term,5,English Language,"Narrative Composition Writing",11-12,"Developing skills in narrative writing by learning story structure (beginning, middle, end), character development, plot construction, use of dialogue, descriptive language, and creating engaging narratives on various topics and experiences"
Jss 2,Summer Term,6,English Language,"Descriptive Composition Writing",11-12,"Learning techniques for descriptive writing including using sensory details (sight, sound, smell, taste, touch), vivid adjectives and adverbs, figurative language, and creating clear mental images for readers about people, places, objects, or events"
Jss 2,Summer Term,7,English Language,"Comprehension - Drawing Inferences",11-12,"Developing higher-order reading skills by learning to make logical inferences, draw conclusions, predict outcomes, and understand implied meanings in passages beyond what is explicitly stated, using context and prior knowledge"
Jss 2,Summer Term,8,English Language,"Vocabulary Development - Synonyms and Antonyms",11-12,"Expanding vocabulary by learning synonyms (words with similar meanings) and antonyms (words with opposite meanings), understanding how to use context to identify word relationships, and practicing word substitution to improve writing variety"
Jss 2,Summer Term,9,English Language,"Sentence Structure - Simple, Compound, Complex",11-12,"Understanding different sentence types: simple sentences (one independent clause), compound sentences (two or more independent clauses joined by conjunctions), and complex sentences (independent clause with one or more dependent clauses)"
Jss 2,Summer Term,10,English Language,"Punctuation and Capitalization",11-12,"Mastering the correct use of punctuation marks (period, comma, question mark, exclamation mark, apostrophe, quotation marks, colon, semicolon) and capitalization rules in writing to ensure clarity, proper sentence structure, and grammatical accuracy"
