class,term,week,subject,topic,agegroup,context
Jss 3,Noel Term,1,Home Economics,"Consumer Rights and Protection",12-13,"Understanding who a consumer is and learning about the six universal consumer rights including right to safety, information, choice, be heard, redress, and consumer education"
Jss 3,Noel Term,2,Home Economics,"Consumer Challenges",12-13,"Identifying challenges faced by consumers in the marketplace such as poor quality products, overpricing, false advertising, lack of information, and unfair trade practices"
Jss 3,Noel Term,3,Home Economics,"Consumer Redress Options and Procedures",12-13,"Learning about different types of redress available to consumers (replacement, refund, repair) and the procedures for seeking redress through appropriate channels and consumer protection agencies"
Jss 3,Noel Term,4,Home Economics,"Child Development - Meaning and Stages",12-13,"Understanding child development as progressive changes in a child from birth to adolescence, learning the stages: infancy (0-2 years), early childhood (2-6 years), middle childhood (6-12 years), adolescence (12-18 years)"
Jss 3,Noel Term,5,Home Economics,"Factors Influencing Child Development",12-13,"Exploring factors that affect how children develop including heredity, nutrition, health care, environment, parenting styles, education, socio-economic status, and emotional support"
Jss 3,Noel Term,6,Home Economics,"Conditions Necessary for Child Development",12-13,"Learning about essential conditions for proper child development including adequate nutrition, safe environment, love and affection, education, healthcare, play and recreation, and social interaction"
Jss 3,Noel Term,7,Home Economics,"Care of the Child",12-13,"Understanding different types of care required by children including physical care (bathing, feeding, clothing), emotional care (love, security), intellectual care (education, stimulation), and social care (interaction, play)"
Jss 3,Noel Term,8,Home Economics,"Common Childhood Ailments",12-13,"Identifying and understanding common childhood diseases and health conditions such as measles, chickenpox, malaria, diarrhea, respiratory infections, and their symptoms, prevention, and basic care"
Jss 3,Noel Term,9,Home Economics,"Immunization for Children",12-13,"Learning about the importance of immunization and the different types required by children according to age including BCG, polio, DPT, hepatitis B, measles, and yellow fever vaccines"
Jss 3,Noel Term,10,Home Economics,"Textiles - Definition and Basic Terms",12-13,"Understanding what textiles are (materials made from fibers used to make fabrics), learning basic textile terms: fiber (basic unit), yarn (twisted fibers), warp (lengthwise threads), weft (crosswise threads)"
Jss 3,Calvary Term,1,Home Economics,"Reasons for Studying Textiles and Importance",12-13,"Exploring why we study textiles and their importance in daily life including clothing, home furnishings, protection, cultural expression, economic value, and career opportunities"
Jss 3,Calvary Term,2,Home Economics,"Natural and Synthetic Fibers",12-13,"Differentiating between natural fibers (cotton, wool, silk, linen from plants and animals) and synthetic fibers (nylon, polyester, acrylic made from chemicals), understanding their properties and characteristics"
Jss 3,Calvary Term,3,Home Economics,"Properties, Care and Uses of Different Fibers",12-13,"Learning specific properties of natural fibers (absorbent, breathable, biodegradable) and synthetic fibers (durable, wrinkle-resistant, quick-drying), their appropriate uses and proper care methods"
Jss 3,Calvary Term,4,Home Economics,"Production of Textiles - Weaving",12-13,"Understanding how textiles are produced through weaving process, practical hands-on activity of producing woven table mats using strips of paper or cardboard to learn basic weaving techniques"
Jss 3,Calvary Term,5,Home Economics,"Laundering of Fabrics",12-13,"Learning proper fabric laundering techniques including sorting clothes, choosing appropriate detergents, washing methods, rinsing, drying, starching, and ironing different types of fabrics"
Jss 3,Calvary Term,6,Home Economics,"Sewing Machine - Types and Parts",12-13,"Identifying different types of sewing machines (hand-operated, electric, electronic) and learning the parts of a sewing machine including needle, presser foot, bobbin, feed dog, tension disc, and their functions"
Jss 3,Calvary Term,7,Home Economics,"Choosing and Caring for Sewing Machines",12-13,"Understanding factors to consider when choosing a sewing machine (purpose, budget, features, brand) and learning proper care and maintenance including cleaning, oiling, changing needles, and troubleshooting"
Jss 3,Calvary Term,8,Home Economics,"Garment Construction Terms and Techniques",12-13,"Learning terms used in garment construction such as facing (fabric finish for edges), hems (folded and sewn edge), openings (zippers, buttons), fastenings, darts (tapered folds), tucks, and seams"
Jss 3,Calvary Term,9,Home Economics,"Using Sewing Machine for Garment Construction",12-13,"Practical lessons in operating a sewing machine to make straight and curved stitches, practicing on fabric pieces, and understanding machine settings for different fabrics and stitches"
Jss 3,Calvary Term,10,Home Economics,"Making Simple Baby Dress",12-13,"Step-by-step practical project of constructing a simple baby dress using a sewing machine, applying learned skills in pattern reading, cutting, stitching, and finishing garments"
Jss 3,Summer Term,1,Home Economics,"Food Hygiene and Safety - Meaning and Importance",12-13,"Understanding food hygiene as practices that prevent food contamination, learning reasons for healthy food handling including preventing foodborne illnesses, maintaining nutritional value, and ensuring consumer safety"
Jss 3,Summer Term,2,Home Economics,"Hygienic Food Handling Methods",12-13,"Learning safe ways to handle food including washing hands before cooking, keeping utensils clean, storing food properly, covering food, separating raw and cooked foods, and cooking food thoroughly"
Jss 3,Summer Term,3,Home Economics,"Food Contamination and Poisoning",12-13,"Understanding sources of food contamination (bacteria, viruses, chemicals, physical objects) and food poisoning, learning the effects of consuming contaminated food on health and prevention methods"
Jss 3,Summer Term,4,Home Economics,"Sensory Signs of Food Spoilage",12-13,"Identifying spoilage signs using senses: sight (mold, discoloration), smell (off odors, sour smell), taste (unusual flavors), texture (sliminess, softness), and understanding causative micro-organisms like bacteria, molds, and yeasts"
