class,term,week,subject,topic,agegroup,context
Jss 1,Noel Term,1,Basic Technology,"Understanding Technology and Related Professions",10-11,"Learning what technology is; identifying technology-related occupations like engineering, architecture, computer science, industrial design"
Jss 1,Noel Term,2,Basic Technology,"Importance of Technological Literacy",10-11,"Understanding why everyone (males and females) should learn technology; recognizing technology is universal and essential for modern life"
Jss 1,Noel Term,3,Basic Technology,"Safety Guidelines for Pedestrians",10-11,"Learning safety rules for walking: walking on left side facing traffic, wearing bright colors at night, proper road crossing techniques"
Jss 1,Noel Term,4,Basic Technology,"Safety Guidelines for Cyclists and Motorcyclists",10-11,"Understanding safety for riders: using helmets, wearing protective padded clothes, bright colored jackets, obeying traffic rules"
Jss 1,Noel Term,5,Basic Technology,"Safety Guidelines for Motorists",10-11,"Learning motorist safety: using seat belts, obeying traffic regulations, ensuring proper vehicle maintenance, defensive driving"
Jss 1,Noel Term,6,Basic Technology,"Workshop Safety: Causes and Types of Accidents",10-11,"Understanding what causes workshop accidents; learning types of accidents that occur in workshop places like cuts, burns, falls"
Jss 1,Noel Term,7,Basic Technology,"Workshop Safety Devices",10-11,"Identifying safety equipment: fire extinguishers, sand buckets, first aid kits, safety goggles, gloves, protective clothing"
Jss 1,Noel Term,8,Basic Technology,"Workshop Safety Rules and Regulations",10-11,"Learning safety rules: proper clothing, no running, correct tool usage, keeping workspace clean, following instructions"
Jss 1,Noel Term,9,Basic Technology,"Accident Prevention Techniques",10-11,"Understanding and practicing methods to prevent workshop accidents through safe work habits and attitudes"
Jss 1,Noel Term,10,Basic Technology,"Practical Workshop Safety Measures",10-11,"Applying safety knowledge; observing and practicing safety rules whenever in workshop places"
Jss 1,Calvary Term,1,Basic Technology,"Properties of Wood: Identification and Classification",10-11,"Identifying wood by color: mahogany, afara, obeche, opepe; classifying as hardwood or softwood; understanding properties"
Jss 1,Calvary Term,2,Basic Technology,"Properties of Metals: Identification",10-11,"Identifying metals by physical properties: luster, density, sound, malleability, ductility; examining metal specimens"
Jss 1,Calvary Term,3,Basic Technology,"Classification of Metals",10-11,"Learning ferrous metals (contain iron like steel) and non-ferrous metals (aluminum, copper, brass); understanding their uses"
Jss 1,Calvary Term,4,Basic Technology,"Forms of Metals",10-11,"Understanding different metal forms: rods, bars, pipes, wires, plates, sheets; recognizing how form relates to use"
Jss 1,Calvary Term,5,Basic Technology,"Properties of Ceramics and Glass",10-11,"Identifying ceramics and glass products: bricks, tiles, bottles, cups, pots; understanding properties like brittleness, heat resistance"
Jss 1,Calvary Term,6,Basic Technology,"Common Building Materials",10-11,"Learning about building materials: cement, sand, gravel, metal, plastics, wood, glass, leaves, ceramics, grass"
Jss 1,Calvary Term,7,Basic Technology,"Uses of Building Materials",10-11,"Understanding how different building materials are used in construction based on their properties and availability"
Jss 1,Calvary Term,8,Basic Technology,"Drawing Instruments and Materials",10-11,"Identifying drawing instruments: T-square, set square, compass, divider, ruler, protractor, French curves; learning their uses"
Jss 1,Calvary Term,9,Basic Technology,"Handling and Care of Drawing Instruments",10-11,"Learning basic techniques for handling drawing instruments correctly; understanding how to care for and maintain them"
Jss 1,Calvary Term,10,Basic Technology,"Constructing Shapes with Drawing Instruments",10-11,"Using drawing instruments to construct basic geometric shapes; practicing proper techniques under supervision"
Jss 1,Summer Term,1,Basic Technology,"Board Practice: Setting Drawing Paper",10-11,"Learning to fix drawing sheet to board; sharpening pencils to conical point and knife edge"
Jss 1,Summer Term,2,Basic Technology,"Drawing Borders and Lines",10-11,"Using T-square and set squares to draw borders, horizontal and vertical lines; positioning and drawing title block"
Jss 1,Summer Term,3,Basic Technology,"Freehand Writing and Sketching",10-11,"Practicing freehand writing of legible letters and numerals; learning freehand sketching techniques for lines, curves, circles"
Jss 1,Summer Term,4,Basic Technology,"Woodwork Hand Tools: Measuring and Marking",10-11,"Identifying measuring tools (steel rule) and marking tools; learning their functions, sketching, and proper usage"
Jss 1,Summer Term,5,Basic Technology,"Woodwork Hand Tools: Driving and Boring",10-11,"Learning about hammers, mallets, screwdrivers, braces, bradawls; understanding their functions and proper use"
Jss 1,Summer Term,6,Basic Technology,"Woodwork Hand Tools: Cutting and Holding",10-11,"Identifying saws, chisels, planes, cramps, vices; learning cutting and paring techniques, holding devices usage"
Jss 1,Summer Term,7,Basic Technology,"Metalwork Hand Tools",10-11,"Learning metalwork tools: marking out tools (scriber, odd-leg calipers), measuring tools (steel rule), driving tools (punches, spanners)"
Jss 1,Summer Term,8,Basic Technology,"Metalwork Cutting Tools and Their Uses",10-11,"Understanding metalwork cutting tools: chisels, files, hacksaws; practicing their use and making sketches"
Jss 1,Summer Term,9,Basic Technology,"Maintenance: Meaning and Types",10-11,"Understanding maintenance meaning; learning three types: preventive (before breakdown), corrective (after breakdown), predictive (monitoring)"
Jss 1,Summer Term,10,Basic Technology,"Importance and Practice of Tool Maintenance",10-11,"Learning why tools need regular maintenance; practicing cleaning, oiling, greasing of workshop tools and machines"
