class,term,week,subject,topic,agegroup,context
Jss 1,Noel Term,1,Home Economics,"Puberty: Meaning and Signs",10-11,"Understanding what puberty is; learning physical and emotional changes that occur during puberty in boys and girls"
Jss 1,Noel Term,2,Home Economics,"Adolescence: Meaning and Characteristics",10-11,"Understanding adolescence as the teenage years; learning about the transition from childhood to adulthood (ages 10-19)"
Jss 1,Noel Term,3,Home Economics,"Needs and Challenges of Adolescents",10-11,"Learning about adolescent needs: proper nutrition, hygiene, emotional support; understanding challenges faced during teenage years"
Jss 1,Noel Term,4,Home Economics,"Hygiene Guides for Adolescents",10-11,"Learning personal hygiene practices for adolescents: bathing regularly, using deodorants, managing menstruation, maintaining cleanliness"
Jss 1,Noel Term,5,Home Economics,"Sexually Transmitted Infections (STIs)",10-11,"Understanding what STIs are; learning causes, signs, symptoms, and prevention methods for sexually transmitted infections"
Jss 1,Noel Term,6,Home Economics,"HIV/AIDS: Meaning, Causes and Prevention",10-11,"Learning about HIV/AIDS: what it is, how it spreads, prevention methods, and importance of awareness"
Jss 1,Noel Term,7,Home Economics,"Fundamental Human Rights",10-11,"Understanding basic human rights: right to life, freedom of expression, right to education, right to dignity"
Jss 1,Noel Term,8,Home Economics,"Rights of the Child",10-11,"Learning specific rights children have: right to protection, care, education, play, name, nationality, and freedom from abuse"
Jss 1,Noel Term,9,Home Economics,"Family Needs: Meaning and Types",10-11,"Understanding what family needs are; learning basic needs: food, clothing, shelter, healthcare, education"
Jss 1,Noel Term,10,Home Economics,"Difference Between Needs and Wants",10-11,"Learning to distinguish between essential needs (must have) and wants (nice to have); prioritizing family needs"
Jss 1,Calvary Term,1,Home Economics,"Family Goals: Meaning and Examples",10-11,"Understanding what family goals are; learning short-term and long-term goals families set to improve their lives"
Jss 1,Calvary Term,2,Home Economics,"Family Standards: Meaning and Importance",10-11,"Understanding family standards as acceptable levels of living; learning how standards guide family decisions and behavior"
Jss 1,Calvary Term,3,Home Economics,"Relationship Among Needs, Goals and Standards",10-11,"Understanding how family needs, goals, and standards work together to guide family resource management and planning"
Jss 1,Calvary Term,4,Home Economics,"Family Resource Management",10-11,"Learning to manage family resources wisely using needs, goals, and standards; understanding importance of planning"
Jss 1,Calvary Term,5,Home Economics,"Simple Household Articles and Crafts",10-11,"Identifying household articles: aprons, caps, needlework bags, head rests, table mats, purses, bibs, napkins, handkerchiefs"
Jss 1,Calvary Term,6,Home Economics,"Tools and Materials for Household Articles",10-11,"Learning about sewing tools: needles, thread, scissors, measuring tape; materials: fabric, calico, baft cloth"
Jss 1,Calvary Term,7,Home Economics,"Construction of Simple Household Articles",10-11,"Learning steps to make simple items like aprons, caps, tray cloths, napkins, handkerchiefs; practicing basic sewing skills"
Jss 1,Calvary Term,8,Home Economics,"Making Income-Yielding Crafts",10-11,"Learning to produce crafts for sale: tie-dye fabrics, batik fabrics, embroidered items; understanding entrepreneurship"
Jss 1,Calvary Term,9,Home Economics,"Tie-Dye and Batik Fabric Production",10-11,"Learning tie-dye and batik techniques; understanding materials needed, dyeing process, and creating patterns on fabric"
Jss 1,Calvary Term,10,Home Economics,"Display and Sale of Household Articles",10-11,"Learning to display finished products attractively; understanding how to sell household articles and crafts for income"
Jss 1,Summer Term,1,Home Economics,"Types of Home-Made Cleaning Agents",10-11,"Understanding home-made cleaning agents: furniture polish, floor cleaner, glass cleaner, metal polish made from local materials"
Jss 1,Summer Term,2,Home Economics,"Uses and Preparation of Cleaning Agents",10-11,"Learning uses of different cleaning agents; preparing home-made polish using kerosene, turpentine, candle wax, palm oil"
Jss 1,Summer Term,3,Home Economics,"Using Home-Made Polish and Cleaners",10-11,"Practicing how to polish furniture and clean household items using prepared home-made cleaning agents"
Jss 1,Summer Term,4,Home Economics,"Types and Uses of Cosmetics",10-11,"Understanding cosmetics: pomade, cream, deodorants, perfumes; learning their uses for personal care and hygiene"
Jss 1,Summer Term,5,Home Economics,"Materials and Tools for Making Cosmetics",10-11,"Learning materials and tools needed to make pomade, cream, and deodorants; understanding safety in cosmetic production"
Jss 1,Summer Term,6,Home Economics,"Safety and Regulatory Control of Cosmetics",10-11,"Understanding importance of quality control; learning roles of NAFDAC and SON in regulating cosmetic products in Nigeria"
Jss 1,Summer Term,7,Home Economics,"Making Pomade, Cream and Deodorants",10-11,"Practicing production of cosmetics following proper procedures; displaying finished products safely"
Jss 1,Summer Term,8,Home Economics,"Healthy Feeding and Eating Practices",10-11,"Learning healthy practices: eating adequate diet, using seasonal foods, washing hands, chewing properly, avoiding overeating"
Jss 1,Summer Term,9,Home Economics,"Food Additives and Harmful Substances",10-11,"Understanding food additives (uses and misuses), food contaminants, harmful substances like banned additives, spoilt fruits, undercooked food"
Jss 1,Summer Term,10,Home Economics,"Drug Abuse and Effects on the Body",10-11,"Understanding what drug abuse is; learning harmful effects of drug abuse on physical and mental health"
