"class","term","week","subject","topic","agegroup","context","generated"
"Jss 1","Noel Term","1","Business Studies","Introduction to Business Studies","10-11","Understanding Business Studies as a subject that combines office practice, commerce, book-keeping, and keyboarding, learning its importance and various career opportunities in business fields like accounting, secretarial work, and entrepreneurship","false"
"Jss 1","Noel Term","2","Business Studies","The Office - Meaning and Types","10-11","Defining an office as a place where administrative and clerical work is done, differentiating between small offices (few workers, simple operations) and large offices (many workers, complex operations with departments)","false"
"Jss 1","Noel Term","3","Business Studies","Functions of an Office","10-11","Learning the main functions of an office including receiving and sending information, keeping records, processing documents, coordinating activities, and providing administrative support to an organization","false"
"Jss 1","Noel Term","4","Business Studies","Office Staff - Clerical Workers","10-11","Understanding who clerical staff are (workers who perform office tasks like typing, filing, record-keeping), their functions, required qualities (accuracy, honesty, confidentiality), and importance of keeping office information confidential","false"
"Jss 1","Noel Term","5","Business Studies","Right Attitude to Work - Punctuality and Regularity","10-11","Learning the meaning of punctuality (arriving on time) and regularity (consistent attendance), understanding attributes like commitment, promptness, consistency, and how these lead to rewards while absence leads to sanctions","false"
"Jss 1","Noel Term","6","Business Studies","Devotion to Duty","10-11","Understanding devotion to duty as dedication and commitment to one's work responsibilities, learning how it affects productivity, development, and overall performance in school, work, and personal life","false"
"Jss 1","Noel Term","7","Business Studies","Departments in an Organization","10-11","Identifying various departments in organizations including Administrative (general management), Purchasing (buying), Accounting (finances), Sales (selling), Personnel (human resources), Planning, and Transport departments, and their specific functions","false"
"Jss 1","Noel Term","8","Business Studies","Introduction to Commerce","10-11","Understanding commerce as trade (buying and selling) plus aids to trade (activities that help trade happen), learning the importance of commerce and various commercial activities like banking, insurance, transport, and communication","false"
"Jss 1","Noel Term","9","Business Studies","Divisions of Commerce - Trade","10-11","Learning that commerce is divided into trade and aids to trade, understanding home trade (within a country) subdivided into wholesale and retail, and foreign trade (between countries) including import and export","false"
"Jss 1","Noel Term","10","Business Studies","Production - Meaning and Types","10-11","Understanding production as making goods or providing services, learning types: extractive industry (mining, farming), manufacturing industry (processing raw materials), construction industry (building), commerce (trade), and services","false"
"Jss 1","Calvary Term","1","Business Studies","Effects of Production on Environment and Society","10-11","Understanding how production activities can affect the environment through pollution (air, water, noise), deforestation, and waste, and learning about responsible production practices to minimize negative environmental impact","false"
"Jss 1","Calvary Term","2","Business Studies","Factors of Production","10-11","Learning the four factors needed for production: Land (natural resources), Labour (human effort), Capital (money and equipment), and Entrepreneur (organizer who takes risks), understanding their features and importance in business","false"
"Jss 1","Calvary Term","3","Business Studies","Types of Occupation","10-11","Understanding occupation as work people do to earn a living, learning divisions: primary (farming, mining), industrial (manufacturing), commercial (trading), and services (teaching, healthcare), and factors affecting occupation choice","false"
"Jss 1","Calvary Term","4","Business Studies","Direct and Indirect Services","10-11","Differentiating between direct services (personally given to individuals like hairdressing, teaching, medical care) and indirect services (benefit everyone like security, road maintenance, street lighting) with examples of each","false"
"Jss 1","Calvary Term","5","Business Studies","Honesty in Business - Truthfulness","10-11","Understanding truthfulness as always telling the truth and being honest, learning attributes of truthfulness, factors that cause people to lie, rewards for being truthful, and consequences of dishonesty in business and life","false"
"Jss 1","Calvary Term","6","Business Studies","Honesty in Business - Fair Play","10-11","Learning fair play as treating others justly and following rules, understanding attributes of fair play including honesty, respect, equality, and practicing fairness in business dealings, sports, and daily interactions","false"
"Jss 1","Calvary Term","7","Business Studies","Ethics in Sourcing Chemicals","10-11","Understanding business ethics as moral principles guiding business conduct, learning proper ethics for sourcing chemicals including buying from licensed vendors, good handling techniques, proper distribution, and safe disposal to protect health and environment","false"
"Jss 1","Calvary Term","8","Business Studies","Entrepreneurship - Meaning and Examples","10-11","Understanding entrepreneurship as starting and running one's own business, enterprise as a business venture, and self-employment as working for oneself, identifying successful entrepreneurs locally, in Nigeria, and internationally","false"
"Jss 1","Calvary Term","9","Business Studies","Importance of Entrepreneurship","10-11","Learning why entrepreneurship is important including creating jobs, reducing unemployment, encouraging innovation, generating income, contributing to economic development, and providing independence and self-reliance","false"
