class,term,week,subject,topic,agegroup,context
Jss 3,Noel Term,1,English Language,"Reading for Critical Evaluation",12-13,"Understanding critical reading; identifying facts, opinions, and making deductions from passages on road safety and consumer rights"
Jss 3,Noel Term,2,English Language,"Distinguishing Facts from Opinions",12-13,"Learning to differentiate between factual statements and personal opinions in texts; critical thinking skills"
Jss 3,Noel Term,3,English Language,"Reading for Speed: Techniques",12-13,"Learning surveying/scanning for main points and skimming for specific information to read quickly and efficiently"
Jss 3,Noel Term,4,English Language,"Importance and Practice of Speed Reading",12-13,"Understanding benefits of fast reading; practicing scanning, skimming, and normal-rate reading with various materials"
Jss 3,Noel Term,5,English Language,"Reading for Summary: Topic Sentences",12-13,"Identifying topic sentences from paragraphs on road traffic management, food labels, and safe food storage"
Jss 3,Noel Term,6,English Language,"Identifying Key Ideas and Main Points",12-13,"Learning to identify key ideas from paragraphs and use words/expressions that redirect attention to main points"
Jss 3,Noel Term,7,English Language,"Types and Elements of Composition",12-13,"Understanding narrative, descriptive, argumentative, expository compositions; learning introduction, body, conclusion structure"
Jss 3,Noel Term,8,English Language,"Writing Composition on Motor Vehicle Care",12-13,"Arranging ideas logically; writing composition on motor vehicle parts needing regular care like radiator, brakes, engine"
Jss 3,Noel Term,9,English Language,"Formal and Informal Letter Writing",12-13,"Learning formats: formal letters (two addresses, salutation, heading) and informal letters (one address, personal tone)"
Jss 3,Noel Term,10,English Language,"Summary Writing Essentials",12-13,"Identifying topic sentences, key ideas from passages; summarizing paragraphs on road monitoring devices"
Jss 3,Calvary Term,1,English Language,"Speeches: Long and Short Vowels",12-13,"Identifying and producing speeches with long vowels /i:/ (bee, heat) and short vowels /i/ (bit, hit) in context"
Jss 3,Calvary Term,2,English Language,"Consonants and Consonant Clusters",12-13,"Learning consonant sounds and consonant clusters in words like respect, principle, tactile, struggle, mathematics"
Jss 3,Calvary Term,3,English Language,"Diphthongs in English",12-13,"Learning diphthongs: /ei/ (rail, date), /ou/ (road, boat), /ai/ (child, might), /au/ (stout, drought) with practice"
Jss 3,Calvary Term,4,English Language,"Intonation Patterns",12-13,"Identifying and using correct intonation patterns for statements, questions, and commands in speeches on human rights, peace education"
Jss 3,Calvary Term,5,English Language,"Stress and Rhythm in Speech",12-13,"Learning appropriate stress and rhythm; identifying pauses in utterances and rhythm in poems on value re-orientation, drug abuse"
Jss 3,Calvary Term,6,English Language,"Adverbials: Types and Usage",12-13,"Understanding adverbials of frequency (often, always), cause (because), purpose (so that), condition (unless, if), manner, contrast"
Jss 3,Calvary Term,7,English Language,"Tenses: Present, Past and Future",12-13,"Identifying and using present, past, and future tenses in passages on peace education, computer literacy, youth discipline"
Jss 3,Calvary Term,8,English Language,"Adverbs, Conjunctions and Prepositions",12-13,"Identifying and explaining functions of adverbs, conjunctions, and prepositions in passages on family size, drug adulteration, corruption"
Jss 3,Calvary Term,9,English Language,"Active and Passive Verbs",12-13,"Understanding active and passive voice; making sentences with active and passive verbs from passages on pre-marital sex, peer pressure"
Jss 3,Calvary Term,10,English Language,"Modal Forms: Direct and Indirect",12-13,"Learning modals (will, can, would, may, might); converting direct speech to indirect speech using modals on patriotism, discipline"
Jss 3,Summer Term,1,English Language,"Non-African Folktales: Features",12-13,"Understanding features of non-African folktales: didactic, entertaining, archaic; retelling folktales and identifying themes"
Jss 3,Summer Term,2,English Language,"Moral Lessons from Folktales",12-13,"Identifying and discussing moral lessons learnt from non-African folktales; narrating folktales with proper expression"
Jss 3,Summer Term,3,English Language,"African and Non-African Myths",12-13,"Retelling and explaining themes of myths from African and non-African cultures; understanding cultural narratives"
Jss 3,Summer Term,4,English Language,"Legends and Their Moral Lessons",12-13,"Learning about legends, their themes, and moral lessons; differentiating between myths and legends from various cultures"
Jss 3,Summer Term,5,English Language,"Types of Prose: Narrative and Descriptive",12-13,"Understanding narrative and descriptive prose; identifying features like plot, character, style, setting, and theme"
Jss 3,Summer Term,6,English Language,"Features and Writing of Prose",12-13,"Analyzing short stories; writing own stories using narrative and descriptive prose styles with clear moral lessons"
Jss 3,Summer Term,7,English Language,"Poetry: Types and Language",12-13,"Learning poetry types (dirge, epic, lyric, dramatic); understanding poetic language as concise, unique, and elevated"
Jss 3,Summer Term,8,English Language,"Reading and Writing Poetry",12-13,"Reading selected poems with appropriate rhythm; explaining meanings; writing simple poems using poetic devices"
Jss 3,Summer Term,9,English Language,"Drama: Theme and Features",12-13,"Understanding drama elements: theme, features, costumes, props, performance, audience, director, setting, characterization, language"
Jss 3,Summer Term,10,English Language,"Dramatizing and Writing Plays",12-13,"Reading and acting plays; identifying props and costumes; writing and performing original plays with proper dramatic elements"
