class,term,week,subject,topic,agegroup,context
Jss 1,Noel Term,1,Basic Science,"Family Health: Sanitation",10-11,"Understanding sanitation meaning and importance; learning methods to keep school and home clean using rakes, brooms, cleaning agents"
Jss 1,Noel Term,2,Basic Science,"Family Health: Nutrition and Balanced Diet",10-11,"Defining nutrition; understanding balanced diet with examples of different food groups; planning meals for breakfast, lunch, supper"
Jss 1,Noel Term,3,Basic Science,"Family Health: Drug and Substance Abuse",10-11,"Understanding drug abuse meaning; learning effects of drug/substance abuse on health; recognizing dangers of addiction"
Jss 1,Noel Term,4,Basic Science,"Environmental Pollution: Air Pollution",10-11,"Defining air pollution; identifying causes like domestic/industrial waste, vehicle emissions; understanding respiratory tract infections"
Jss 1,Noel Term,5,Basic Science,"Environmental Pollution: Water Pollution",10-11,"Understanding water pollution from fertilizers, oil spillage, chemicals; learning about waterborne diseases and purification methods"
Jss 1,Noel Term,6,Basic Science,"Environmental Pollution: Soil Pollution",10-11,"Learning causes of soil pollution from insecticides, non-biodegradable waste; understanding destruction of soil organisms and poor plant yield"
Jss 1,Noel Term,7,Basic Science,"Consequences and Control of Pollution",10-11,"Understanding pollution effects on environment and humans; learning control measures like water filtration, boiling, proper waste disposal"
Jss 1,Noel Term,8,Basic Science,"Matter: Meaning and States",10-11,"Defining matter; learning three states of matter (solid, liquid, gas); collecting and classifying objects by their states"
Jss 1,Noel Term,9,Basic Science,"Living Things: Plants and Animals",10-11,"Identifying characteristics of living things; learning differences between plants and animals; understanding movement, feeding, reproduction"
Jss 1,Noel Term,10,Basic Science,"Non-Living Things: Classification",10-11,"Understanding characteristics of non-living things; classifying into metals and non-metals; learning properties, uses, and importance"
Jss 1,Calvary Term,1,Basic Science,"Energy: Meaning and Sources",10-11,"Explaining what energy is; identifying sources like sun, coal, crude oil, gas, battery; understanding energy importance"
Jss 1,Calvary Term,2,Basic Science,"Forms of Energy",10-11,"Learning different forms: heat, light, sound, electrical, mechanical, chemical energy; observing energy in daily activities"
Jss 1,Calvary Term,3,Basic Science,"Transformation of Energy",10-11,"Understanding how energy changes from one form to another; examples: striking match (chemical to heat/light), kicking ball (chemical to kinetic)"
Jss 1,Calvary Term,4,Basic Science,"Uses of Energy in Daily Life",10-11,"Learning practical uses of energy: cooking, transportation, lighting, heating, running machines, communication devices"
Jss 1,Calvary Term,5,Basic Science,"Renewable Energy",10-11,"Understanding renewable energy meaning; examples: solar, wind, water (hydroelectric), biomass; learning about sustainability"
Jss 1,Calvary Term,6,Basic Science,"Non-Renewable Energy",10-11,"Learning about non-renewable energy: coal, petroleum, natural gas; understanding they are limited and can be exhausted"
Jss 1,Calvary Term,7,Basic Science,"Conservation of Energy Resources",10-11,"Understanding misuse of non-renewable energy; learning conservation importance; effects of deforestation, oil bunkering on society"
Jss 1,Calvary Term,8,Basic Science,"Force: Meaning and Types",10-11,"Defining force; understanding contact forces (push, pull, squeeze) and non-contact forces (magnetic, gravitational)"
Jss 1,Calvary Term,9,Basic Science,"Gravitational and Magnetic Forces",10-11,"Learning differences between gravitational and magnetic forces; calculating gravitational force using formula GF = mgh"
Jss 1,Calvary Term,10,Basic Science,"Friction: Uses and Effects",10-11,"Understanding friction as force opposing motion; learning advantages (grip, brakes work) and disadvantages (wear, heat generation)"
Jss 1,Summer Term,1,Basic Science,"Gravitation and Weightlessness",10-11,"Understanding gravitational pull of earth on objects; learning about weightlessness in space; demonstrating effects on different objects"
Jss 1,Summer Term,2,Basic Science,"The Earth in Space",10-11,"Learning components of solar system: sun, planets, moon, asteroids; understanding earth's position in solar system"
Jss 1,Summer Term,3,Basic Science,"Rotation and Revolution of Earth",10-11,"Understanding earth's rotation (causes day and night) and revolution around sun (causes seasons); using models to demonstrate"
Jss 1,Summer Term,4,Basic Science,"The Moon and Its Movement",10-11,"Learning about moon's rotation and revolution around earth; understanding moon phases and its effects on earth"
Jss 1,Summer Term,5,Basic Science,"Eclipse of the Sun and Moon",10-11,"Understanding solar eclipse (moon blocks sun) and lunar eclipse (earth blocks sunlight to moon); demonstrating with balls and flashlight"
Jss 1,Summer Term,6,Basic Science,"Seasons of the Year",10-11,"Learning how earth's tilt and revolution cause seasons: summer, autumn, winter, spring; understanding seasonal changes"
Jss 1,Summer Term,7,Basic Science,"Space Travel: Purpose and Process",10-11,"Understanding what space travel is; learning purposes: exploration, research, satellite deployment; studying spacecraft technology"
Jss 1,Summer Term,8,Basic Science,"Benefits and Dangers of Space Travel",10-11,"Learning benefits: scientific discoveries, technology advancement, communication; understanding dangers: radiation, equipment failure, isolation"
Jss 1,Summer Term,9,Basic Science,"Satellites and Their Uses",10-11,"Understanding artificial satellites; learning uses: communication, weather forecasting, GPS navigation, television broadcasting, internet"
Jss 1,Summer Term,10,Basic Science,"Nigeria's Space Program",10-11,"Learning about Nigerian satellite (NIGCOMSAT, NigeriaSat); understanding how satellites help national development in communication and monitoring"
