class,term,week,subject,topic,agegroup,context
Jss 1,Noel Term,1,Physical And Health Education,"Physical Fitness: Meaning and Components",10-11,"Understanding what physical fitness is; learning health-related components (cardiovascular endurance, muscular strength, flexibility, body composition)"
Jss 1,Noel Term,2,Physical And Health Education,"Performance-Related Components of Fitness",10-11,"Learning performance components: agility (changing direction), balance, coordination, power, reaction time, speed"
Jss 1,Noel Term,3,Physical And Health Education,"Characteristics of Physically Fit Person",10-11,"Identifying characteristics: good posture, healthy weight, strong muscles, good stamina, active lifestyle, positive attitude"
Jss 1,Noel Term,4,Physical And Health Education,"Importance of Physical Fitness",10-11,"Understanding benefits: improved health, disease prevention, better academic performance, stress relief, confidence building"
Jss 1,Noel Term,5,Physical And Health Education,"Exercises for Strength Development",10-11,"Learning and practicing exercises to develop muscular strength: push-ups, sit-ups, squats, resistance exercises"
Jss 1,Noel Term,6,Physical And Health Education,"Exercises for Endurance and Flexibility",10-11,"Practicing endurance exercises (running, jogging) and flexibility exercises (stretching, yoga poses) safely"
Jss 1,Noel Term,7,Physical And Health Education,"Safety Precautions During Exercise",10-11,"Learning safety measures: proper warm-up, correct form, hydration, recognizing warning signs, cooling down, appropriate clothing"
Jss 1,Noel Term,8,Physical And Health Education,"Recreation and Leisure: Meaning and Differences",10-11,"Understanding recreation (refreshing activities), leisure (free time), and dance (rhythmic body movement); learning their differences"
Jss 1,Noel Term,9,Physical And Health Education,"Components of Recreation and Dance",10-11,"Identifying components of recreation (active, passive) and dance (traditional, modern); learning types of recreational activities"
Jss 1,Noel Term,10,Physical And Health Education,"Benefits of Recreation and Dance",10-11,"Understanding benefits: refreshment of body and mind, fun, mental alertness, social and emotional stability, skill development"
Jss 1,Calvary Term,1,Physical And Health Education,"Athletics: Definition and Field Events",10-11,"Understanding athletics as track and field sports; learning about field events: shot put and discus throwing"
Jss 1,Calvary Term,2,Physical And Health Education,"Shot Put: Basic Skills and Techniques",10-11,"Learning shot put skills: grip (holding shot at neck), stance (side-on position), put (pushing motion), follow-through"
Jss 1,Calvary Term,3,Physical And Health Education,"Discus: Basic Skills and Techniques",10-11,"Learning discus skills: carriage (holding discus), stance (turning position), throw (releasing technique), follow-through"
Jss 1,Calvary Term,4,Physical And Health Education,"Rules and Safety in Shot Put and Discus",10-11,"Understanding rules governing shot put and discus; learning safety measures in throwing events; drawing sectors with dimensions"
Jss 1,Calvary Term,5,Physical And Health Education,"Ball Games: Soccer Skills and Techniques",10-11,"Learning soccer basics: dribbling, passing, shooting, heading, trapping; understanding team coordination and ball control"
Jss 1,Calvary Term,6,Physical And Health Education,"Ball Games: Volleyball Skills and Techniques",10-11,"Learning volleyball basics: serving, passing, setting, spiking, blocking; understanding court positions and rotations"
Jss 1,Calvary Term,7,Physical And Health Education,"Rules and Officials in Soccer and Volleyball",10-11,"Understanding rules governing soccer and volleyball; learning about officials (referee, linesmen, umpires) and their functions"
Jss 1,Calvary Term,8,Physical And Health Education,"Facilities, Equipment and Safety in Ball Games",10-11,"Identifying facilities (courts, pitches) and equipment (balls, nets, goals); learning safety measures and common injuries prevention"
Jss 1,Calvary Term,9,Physical And Health Education,"Contact Sports: Wrestling and Judo",10-11,"Understanding contact sports where opponents touch; learning basic skills in wrestling and judo; safety measures and protective gear"
Jss 1,Calvary Term,10,Physical And Health Education,"Non-Contact Sports: Gymnastics and Swimming",10-11,"Understanding non-contact sports without direct opponent touch; learning basic gymnastic movements and swimming strokes; safety precautions"
Jss 1,Summer Term,1,Physical And Health Education,"Determinants of Health",10-11,"Understanding three determinants: hereditary (genes from parents), environment (surroundings), lifestyle (habits and choices)"
Jss 1,Summer Term,2,Physical And Health Education,"Characteristics of a Healthy Person",10-11,"Identifying healthy person traits: good physical appearance, mental alertness, emotional stability, social well-being, disease-free"
Jss 1,Summer Term,3,Physical And Health Education,"Sewage and Refuse: Meaning and Disposal",10-11,"Understanding sewage (liquid waste) and refuse (solid waste); learning disposal methods: pit latrines, septic tanks, landfills, recycling"
Jss 1,Summer Term,4,Physical And Health Education,"Water Supply and Safe Water",10-11,"Learning sources of water: wells, boreholes, rivers, taps, rain; understanding qualities of safe water: clean, clear, odorless"
Jss 1,Summer Term,5,Physical And Health Education,"Food and Nutrition: Meaning and Types",10-11,"Understanding what food is; learning different types of food available locally and their nutritional importance"
Jss 1,Summer Term,6,Physical And Health Education,"Classes of Food Nutrients",10-11,"Learning six classes: carbohydrates (energy), proteins (body building), fats/oils (energy), vitamins, minerals, water (all for health)"
Jss 1,Summer Term,7,Physical And Health Education,"Importance of Food Nutrients",10-11,"Understanding specific importance of each nutrient class for growth, energy, disease prevention, and healthy living"
Jss 1,Summer Term,8,Physical And Health Education,"Diseases Caused by Pathogens",10-11,"Understanding pathogens (disease-causing organisms); learning about communicable diseases: malaria, typhoid, cholera, tuberculosis"
Jss 1,Summer Term,9,Physical And Health Education,"Effects of Diseases on Physical Activities",10-11,"Understanding how diseases affect athletic performance: weakness, reduced stamina, poor concentration, decreased participation"
Jss 1,Summer Term,10,Physical And Health Education,"Disease Prevention Measures",10-11,"Learning prevention: adequate nutrition, exercise, clean environment, safe water, proper waste disposal, immunization, good hygiene, health education"
