class,term,week,subject,topic,agegroup,context
Jss 3,Noel Term,1,Business Studies,"Office Procedure: Meaning and Importance",12-13,"Understanding what office procedures are and why they are important for smooth business operations"
Jss 3,Noel Term,2,Business Studies,"Preparing Bills, Invoices and Receipts",12-13,"Learning procedures for preparing business documents: bills for services, invoices for goods sold, and receipts for payments"
Jss 3,Noel Term,3,Business Studies,"Payment Methods in Business",12-13,"Understanding different payment procedures: cash, bank transfer, cheque, bank draft, and e-payment systems"
Jss 3,Noel Term,4,Business Studies,"Imprest Account and Petty Cash Management",12-13,"Learning to keep imprest account, balance petty cash, and restore imprest for small office expenses"
Jss 3,Noel Term,5,Business Studies,"Store Records and Store Procurement",12-13,"Understanding store records, using store requisition forms, and procedures for procurement of store items"
Jss 3,Noel Term,6,Business Studies,"Stock Taking and Store Documentation",12-13,"Learning importance of stock taking, preparing delivery notes and gate passes for goods movement"
Jss 3,Noel Term,7,Business Studies,"Office Equipment: Types and Uses",12-13,"Identifying office equipment like computers, photocopiers, filing cabinets, staplers, fax machines, and their uses"
Jss 3,Noel Term,8,Business Studies,"Care and Maintenance of Office Equipment",12-13,"Learning proper ways to care for and maintain office equipment to ensure longevity and efficiency"
Jss 3,Noel Term,9,Business Studies,"Advertising: Meaning, Types and Functions",12-13,"Understanding advertising, types (informative, persuasive), and its functions in promoting products and services"
Jss 3,Noel Term,10,Business Studies,"Advertising Media",12-13,"Exploring various advertising media: radio, television, newspaper, handbills, magazines, internet, and billboards"
Jss 3,Calvary Term,1,Business Studies,"Transportation: Types and Importance",12-13,"Understanding transportation types (road, air, rail, water, pipeline) and importance in commerce and business"
Jss 3,Calvary Term,2,Business Studies,"Advantages and Disadvantages of Transportation Types",12-13,"Comparing pros and cons of different transportation modes for moving goods and people in business"
Jss 3,Calvary Term,3,Business Studies,"Communication in Business",12-13,"Understanding communication meaning, means (post, telephone, internet, courier), and importance in business operations"
Jss 3,Calvary Term,4,Business Studies,"Communication Agencies and Services",12-13,"Learning about NIPOST, telephone services, internet, courier services, and their roles in business communication"
Jss 3,Calvary Term,5,Business Studies,"Setting Simple Business Goals",12-13,"Understanding SWOT analysis: identifying strengths, weaknesses, opportunities, and threats for business planning"
Jss 3,Calvary Term,6,Business Studies,"Simple Single Business Plan",12-13,"Learning procedures for drawing up a simple business plan for starting and running a small business"
Jss 3,Calvary Term,7,Business Studies,"Consumer Protection Agencies",12-13,"Understanding CPC, NCC, SON, NERC, NAFDAC and their roles in protecting consumer rights in Nigeria"
Jss 3,Calvary Term,8,Business Studies,"Making Consumer Complaints",12-13,"Learning to distinguish justified and unjustified complaints, steps in lodging complaints, and writing complaint letters"
Jss 3,Calvary Term,9,Business Studies,"Banning and Restricting Harmful Chemicals",12-13,"Understanding reasons and procedures for banning and restricting chemicals not suitable for consumer use"
Jss 3,Calvary Term,10,Business Studies,"Consumer Redress and Seeking Resolution",12-13,"Learning ways of seeking redress for consumer complaints through negotiation, mediation, and conciliation"
Jss 3,Summer Term,1,Business Studies,"Personal Finance and Budgeting",12-13,"Understanding personal finance, sources of individual income, and preparing simple personal budgets"
Jss 3,Summer Term,2,Business Studies,"Modesty and Living Within Means",12-13,"Learning attributes of modesty: simplicity, contentment, living within means; avoiding extravagance and corrupt practices"
Jss 3,Summer Term,3,Business Studies,"Consumption, Choice and Scale of Preference",12-13,"Understanding how to prioritize needs and wants, make consumption choices using scale of preference"
Jss 3,Summer Term,4,Business Studies,"Trial Balance: Meaning and Formation",12-13,"Understanding trial balance, extracting balances from ledgers, and identifying profit/loss and balance sheet items"
Jss 3,Summer Term,5,Business Studies,"Trading Account and Cost of Goods Sold",12-13,"Learning to calculate cost of goods sold, net sales, and gross profit using trading account"
Jss 3,Summer Term,6,Business Studies,"Profit and Loss Account",12-13,"Understanding purpose of profit and loss account, calculating net profit or loss, and rules for construction"
Jss 3,Summer Term,7,Business Studies,"Balance Sheet: Assets, Liabilities and Capital",12-13,"Learning meaning of balance sheet, classifying items as fixed/current assets, liabilities, and capital"
Jss 3,Summer Term,8,Business Studies,"Preparing Balance Sheet",12-13,"Practicing preparation of balance sheet from trial balance in vertical and horizontal formats"
Jss 3,Summer Term,9,Business Studies,"Business Letters: Layout and Typing",12-13,"Learning parts of business letters (heading, opening, body, closing) and typing in block and indented styles"
Jss 3,Summer Term,10,Business Studies,"Simple Tabulation and Table Creation",12-13,"Creating tables using Microsoft Word, keyboarding items into tables, and printing assignments"
