class,term,week,subject,topic,agegroup,context
Jss 3,Noel Term,1,Christian Religious Studies,"The Promise of the Holy Spirit",12-13,"Jesus' promise to send the Holy Spirit to His disciples as recorded in John 14 and 16:5-16, and Acts 1:3-8, explaining the role and importance of the Comforter"
Jss 3,Noel Term,2,Christian Religious Studies,"The Coming of the Holy Spirit at Pentecost",12-13,"The fulfillment of Jesus' promise on the day of Pentecost with visible and audible signs including tongues of fire, mighty wind, and speaking in different languages as recorded in Acts 2:1-13"
Jss 3,Noel Term,3,Christian Religious Studies,"Peter's First Speech and Its Effects",12-13,"Peter's powerful sermon on the day of Pentecost explaining the events, calling for repentance, and the conversion of about 3,000 people as recorded in Acts 2:14-41"
Jss 3,Noel Term,4,Christian Religious Studies,"Fellowship in the Early Church",12-13,"The togetherness, sharing, worship, and communal life of early believers as they devoted themselves to apostles' teaching, fellowship, breaking of bread, and prayer (Acts 2:41-47)"
Jss 3,Noel Term,5,Christian Religious Studies,"Dealing with Fraud and Dishonesty in the Church",12-13,"The story of Ananias and Sapphira who lied to the Holy Spirit about their offering, demonstrating God's judgment against fraud and the importance of honesty (Acts 5:1-11)"
Jss 3,Noel Term,6,Christian Religious Studies,"Murmuring and the Selection of Deacons",12-13,"How the early church resolved complaints about unfair distribution to widows by selecting seven deacons with good qualities to serve, ensuring equitable treatment (Acts 6:1-7)"
Jss 3,Noel Term,7,Christian Religious Studies,"Persecution of the Early Believers - Peter and John",12-13,"The arrest of Peter and John by religious authorities for preaching about Jesus and performing miracles, and their bold testimony before the council (Acts 4:1-31)"
Jss 3,Noel Term,8,Christian Religious Studies,"The Martyrdom of Stephen",12-13,"Stephen's arrest, his powerful defense speech about the temple and the law, his vision of Jesus, and his death as the first Christian martyr (Acts 6:8-7:60)"
Jss 3,Noel Term,9,Christian Religious Studies,"Saul's Persecution of the Church",12-13,"Saul's (later Paul) aggressive persecution of Christians, including his role in Stephen's death and his efforts to destroy the church by imprisoning believers (Acts 8:1-3; 9:1ff)"
Jss 3,Noel Term,10,Christian Religious Studies,"The Martyrdom of James",12-13,"The persecution of the church under King Herod, including the execution of James the brother of John, and the arrest of Peter (Acts 12:1-3)"
