class,term,week,subject,topic,agegroup,context
Jss 3,Noel Term,1,Cultural And Creative Arts,"Types and Features of Nigerian Traditional Arts",12-13,"Understanding traditional Nigerian art forms: Nok, Igbo Ukwu, Ife, Benin; their places of origin and cultural functions"
Jss 3,Noel Term,2,Cultural And Creative Arts,"Contemporary Nigerian Art and Artists",12-13,"Learning about pioneering artists like Aina Onabolu, Ben Enwonwu, Ladi Kwali; their contributions to cultural preservation"
Jss 3,Noel Term,3,Cultural And Creative Arts,"Prominent Nigerian Artworks and Locations",12-13,"Identifying famous Nigerian artworks, their locations (National Theatre, PHCN Lagos), and income generation through art"
Jss 3,Noel Term,4,Cultural And Creative Arts,"Meaning and Use of Motifs",12-13,"Understanding motifs as design units; learning plant, floral, traditional, and geometrical motifs for pattern creation"
Jss 3,Noel Term,5,Cultural And Creative Arts,"Creating Patterns Using Motifs",12-13,"Practical application of motifs to design patterns, decorate borders, and make greeting cards"
Jss 3,Noel Term,6,Cultural And Creative Arts,"Exhibition and Display Techniques",12-13,"Learning to prepare artwork for display through labeling, framing, fixing, and mounting on boards"
Jss 3,Noel Term,7,Cultural And Creative Arts,"Display Strategies and Gallery Visits",12-13,"Understanding categorizing, space design, and placement strategies; visiting galleries and museums for practical exposure"
Jss 3,Noel Term,8,Cultural And Creative Arts,"Lettering: Types and Construction",12-13,"Learning lettering types (constructed, handwritten), constructing alphabets A-Z in upper and lower cases"
Jss 3,Noel Term,9,Cultural And Creative Arts,"Qualities of Good Lettering and Slogans",12-13,"Understanding simplicity, legibility, spacing in lettering; constructing slogans for communication and education"
Jss 3,Noel Term,10,Cultural And Creative Arts,"Package Design and Construction",12-13,"Learning methods of constructing and designing packages; writing captions for advertisement and product identification"
Jss 3,Calvary Term,1,Cultural And Creative Arts,"Marketing of Art Works",12-13,"Understanding marketing outlets (shops, hotels, festivals, galleries) and sources of funding for art business"
Jss 3,Calvary Term,2,Cultural And Creative Arts,"Introduction to Embroidery",12-13,"Learning embroidery tools, sources of designs, methods of transferring designs using carbon paper and pricking"
Jss 3,Calvary Term,3,Cultural And Creative Arts,"Embroidery Stitches and Production",12-13,"Practicing embroidery stitches: herringbone, stem, loop, feather; creating embroidered fabric designs"
Jss 3,Calvary Term,4,Cultural And Creative Arts,"Knitting: Tools and Techniques",12-13,"Understanding knitting art, identifying tools (knitting pins, wool), making basic stitches: purl and knit"
Jss 3,Calvary Term,5,Cultural And Creative Arts,"Crocheting: Materials and Stitches",12-13,"Learning crocheting techniques, tools (crochet pins, wool, cotton thread), making basic crocheting stitches"
Jss 3,Calvary Term,6,Cultural And Creative Arts,"Batik Work: Techniques and Processes",12-13,"Understanding batik art, preparing fabrics with wax, dyeing fabric after wax application for decorative patterns"
Jss 3,Calvary Term,7,Cultural And Creative Arts,"Uses and Impact of Music",12-13,"Understanding music uses: rituals, ceremonies, church, advertisement, education, entertainment, and stress relief"
Jss 3,Calvary Term,8,Cultural And Creative Arts,"Creating Music and Solfa Notation",12-13,"Learning music values, setting words to solfa, composing texts, barring phrases, and clapping rhythms"
Jss 3,Calvary Term,9,Cultural And Creative Arts,"Drama and Rural Community Development",12-13,"Understanding theatre for development: using drama to highlight and solve community problems and motivate self-help"
Jss 3,Calvary Term,10,Cultural And Creative Arts,"Career Opportunities for Dramatists",12-13,"Exploring career prospects: playwrights, directors, actors, designers; understanding their impact on society"
Jss 3,Summer Term,1,Cultural And Creative Arts,"Process of Choreography",12-13,"Learning dance creation steps: conception of idea, gathering movements, teaching dancers, creating final structure"
Jss 3,Summer Term,2,Cultural And Creative Arts,"Use of Space and Gestures in Dance",12-13,"Understanding choreographic elements: spatial arrangements, body gestures, and movement patterns in dance"
Jss 3,Summer Term,3,Cultural And Creative Arts,"Prospects of Studying Dance in Nigeria",12-13,"Exploring dance as income earner, foreign exchange through tourism, carnivals, and cultural promotion"
Jss 3,Summer Term,4,Cultural And Creative Arts,"Creating 10-Minute Dance Performance",12-13,"Practical choreography project: students create and perform original 10-minute dance piece for school programs"
Jss 3,Summer Term,5,Cultural And Creative Arts,"Unity: Meaning and Importance",12-13,"Understanding unity concept, causes of disunity in home, school, and society; importance of national cohesion"
Jss 3,Summer Term,6,Cultural And Creative Arts,"How to Maintain Unity",12-13,"Learning to maintain unity through tolerance, fairness, sincerity, respect, accommodation, honesty, and integrity"
Jss 3,Summer Term,7,Cultural And Creative Arts,"Demonstrating Acts of Unity",12-13,"Creating and performing plays emphasizing religious and cultural tolerance to promote unity in diverse communities"
Jss 3,Summer Term,8,Cultural And Creative Arts,"Integration of Arts and Crafts Skills",12-13,"Combining learned skills: embroidery, knitting, crocheting, batik for creating marketable textile art products"
Jss 3,Summer Term,9,Cultural And Creative Arts,"Entrepreneurship in Creative Arts",12-13,"Understanding how to source funds, acquire exhibition space, market artworks, and build sustainable art business"
Jss 3,Summer Term,10,Cultural And Creative Arts,"Cultural Arts Exhibition Project",12-13,"Final project: students organize mini-exhibition showcasing artwork, crafts, music, drama, and dance performances"
