class,term,week,subject,topic,agegroup,context
Jss 2,Noel Term,1,Civic Education,"National Values - Integrity: Meaning and Attributes",11-12,"Understanding integrity as adherence to moral and ethical principles, learning attributes including probity (honesty in dealings), honesty, truthfulness, fair-play, contentment, and non-compromise of principles"
Jss 2,Noel Term,2,Civic Education,"Integrity - People of Integrity and Their Impact",11-12,"Identifying examples of people of integrity in society and the community, understanding the need for integrity in achieving community development, peaceful coexistence, and serving as role models for young people"
Jss 2,Noel Term,3,Civic Education,"National Values - Contentment: Meaning and Attributes",11-12,"Understanding contentment as being satisfied with what one has, learning attributes including satisfaction, lack of envy, rejection of greed and corruption, humility, and appreciating one's current circumstances"
Jss 2,Noel Term,4,Civic Education,"Contentment - Effects of Lack of Contentment",11-12,"Examining the negative effects of lack of contentment on society including corruption, greed, envy, theft, prostitution, robbery, cheating, and other social vices, learning proverbs and adages that promote contentment"
Jss 2,Noel Term,5,Civic Education,"National Values - Discipline: Meaning and Attributes",11-12,"Understanding discipline as controlled behavior and obedience to rules, learning attributes including self-control, moderation, modesty, respect for legitimate authority, respect for rules and regulations, perseverance, and dedication"
Jss 2,Noel Term,6,Civic Education,"Discipline - Benefits and Consequences of Indiscipline",11-12,"Understanding the benefits of disciplined behavior for individuals and society, examining the consequences of indiscipline including social disorder, academic failure, criminal behavior, and loss of opportunities"
Jss 2,Noel Term,7,Civic Education,"National Values - Courage: Meaning and Types",11-12,"Understanding courage as the ability to face danger or difficulty despite fear, identifying types of courage including physical courage (facing physical danger), moral courage (standing for what is right), and religious courage (standing for faith)"
Jss 2,Noel Term,8,Civic Education,"Courage - Attributes of Courageous Individuals",11-12,"Learning attributes of courageous individuals and societies including bravery, determination, standing up for truth and justice, facing fears, defending the weak, and maintaining principles despite opposition or pressure"
Jss 2,Noel Term,9,Civic Education,"Nigeria as a Federation - Meaning and Need",11-12,"Understanding federation as a system of government where power is divided between central and regional governments, learning the needs for federation including national integration, unity in diversity, and controlling activities of states"
Jss 2,Noel Term,10,Civic Education,"Characteristics of a Federation",11-12,"Learning key characteristics of federal systems including sharing of powers between central and state governments, states having constitutionally defined control over their affairs, constitutional framework, and balance of power"
Jss 2,Calvary Term,1,Civic Education,"Three Tiers of Government in Nigeria",11-12,"Understanding the three levels of government in Nigeria: Federal Government (national level), State Government (regional level), and Local Government (grassroots level), and their constitutional roles and responsibilities"
Jss 2,Calvary Term,2,Civic Education,"Relationship Among Federal, State and Local Governments",11-12,"Understanding the nature of relationships among the three tiers including performing functions according to constitutional provisions, power to legislate, executive functions, and providing forms of governance at different levels"
Jss 2,Calvary Term,3,Civic Education,"Differences Among Three Tiers of Government",11-12,"Learning differences in functions, legislative powers, executive powers between Federal, State and Local Governments, understanding exclusive powers (only federal), concurrent powers (shared), and residual powers (state-specific)"
Jss 2,Calvary Term,4,Civic Education,"The Rule of Law - Meaning and Benefits",11-12,"Understanding law as rules governing society and rule of law as principle that everyone is subject to law, learning benefits of rule of law over arbitrary rule including justice, fairness, protection of rights, and orderly society"
Jss 2,Calvary Term,5,Civic Education,"Punishment for Breaking the Law",11-12,"Learning about offences under the law and their punishments, understanding that legal consequences apply to all lawbreakers regardless of status, exploring common offences like theft, assault, fraud, and their legal penalties"
Jss 2,Calvary Term,6,Civic Education,"Equality Before the Law",11-12,"Understanding the principle 'the law is no respecter of persons' meaning all citizens are equal before the law regardless of wealth, position, religion, or ethnicity, learning about fair trial and equal justice"
Jss 2,Calvary Term,7,Civic Education,"Protection of Human Rights - Ways and Methods",11-12,"Learning ways of protecting human rights including representing affected persons in court, protest marches, media coverage, hunger strikes, and drawing public attention to human rights violations"
Jss 2,Calvary Term,8,Civic Education,"Groups That Protect Human Rights",11-12,"Identifying groups that assist in protecting citizens' human rights including Civil Society Organizations (CLO, CDHR, CRP), trade unions, student unions, ethnic associations, and Legal Aid Council, understanding their roles"
Jss 2,Calvary Term,9,Civic Education,"Consumer Rights - Universal Rights",11-12,"Learning the eight universal consumer rights including right to satisfaction of basic needs, safety, information, choice, redress, consumer education, representation/be heard, and healthy environment"
Jss 2,Calvary Term,10,Civic Education,"Consumer Responsibilities",11-12,"Understanding consumer responsibilities including being aware of rights, demanding and keeping proofs of transactions (receipts, invoices, warranties), thinking independently, speaking out against injustice, and respecting the environment"
Jss 2,Summer Term,1,Civic Education,"Democracy - Meaning and Features",11-12,"Understanding democracy as government of the people, by the people, for the people, learning key features including popular participation, rule of law, free and fair elections, separation of powers, and protection of rights"
Jss 2,Summer Term,2,Civic Education,"Democratic Institutions and Their Functions",11-12,"Identifying democratic institutions in Nigeria including INEC (conducting elections), political parties (organizing politics), pressure groups (influencing policy), and three arms of government (legislature, executive, judiciary) with their functions"
Jss 2,Summer Term,3,Civic Education,"Importance and Benefits of Democracy",11-12,"Learning the benefits of democracy to citizens and the nation including political freedom, protection of rights, accountability of leaders, citizen participation in governance, peaceful change of government, and development"
Jss 2,Summer Term,4,Civic Education,"Pillars of Democracy",11-12,"Understanding the pillars that support democracy including the people (citizens as foundation), democratic institutions, rule of law, transparent electoral process, majority rule with minority rights protection, and free press"
Jss 2,Summer Term,5,Civic Education,"Elections - Concepts and Types",11-12,"Understanding election (process of choosing leaders by voting), voter (person eligible to vote), and voting (act of casting ballot), differentiating between types of elections including general, by-election, primary, local, and referendum"
Jss 2,Summer Term,6,Civic Education,"Qualifications for Election and Voter Responsibilities",11-12,"Learning basic qualifications for candidates seeking election including age, citizenship, education, mental soundness, and understanding voter responsibilities including registering, voting peacefully, reporting malpractice, and accepting results"
