class,term,week,subject,topic,agegroup,context
Jss 1,Noel Term,1,Civic Education,"National Values: Meaning and Importance",10-11,"Understanding what values are (likes and dislikes); learning importance of values like unity, cooperation, harmony in society"
Jss 1,Noel Term,2,Civic Education,"Levels of Manifestation of Values",10-11,"Understanding how values are shown at individual level and society level; recognizing values in personal and community behavior"
Jss 1,Noel Term,3,Civic Education,"Factors that Promote Good Value System",10-11,"Learning factors like consistency, trust, tolerance, fairness, integrity, commitment that promote positive values in society"
Jss 1,Noel Term,4,Civic Education,"Honesty: Meaning and Attributes",10-11,"Understanding what honesty means; learning attributes of honest people: truthfulness, sincerity, trustworthiness, openness"
Jss 1,Noel Term,5,Civic Education,"Benefits and Consequences of Honesty",10-11,"Learning benefits of being honest; understanding consequences of dishonesty like examination malpractice, cheating, fraud"
Jss 1,Noel Term,6,Civic Education,"Cooperation: Meaning and Attributes",10-11,"Understanding cooperation as working together to achieve goals; learning attributes: sharing, caring, supporting others"
Jss 1,Noel Term,7,Civic Education,"Factors that Promote Cooperation",10-11,"Learning factors that encourage cooperation: trust, setting common goals, patience, understanding, humility, tolerance, open-mindedness"
Jss 1,Noel Term,8,Civic Education,"Benefits of Cooperation",10-11,"Understanding how cooperation brings harmony, progress, and goal achievement in families, schools, and communities"
Jss 1,Noel Term,9,Civic Education,"Self-Reliance: Meaning and Attributes",10-11,"Understanding self-reliance as depending on oneself; learning to identify personal talents and skills for self-development"
Jss 1,Noel Term,10,Civic Education,"Benefits of Self-Reliance",10-11,"Learning benefits of self-reliance to individual, family, society; understanding consequences of undiscovered talents and undeveloped skills"
Jss 1,Calvary Term,1,Civic Education,"Processes of Discovering Natural Talents",10-11,"Understanding how to identify one's natural talents and abilities; learning importance of discovering what you're good at"
Jss 1,Calvary Term,2,Civic Education,"Nurturing and Perfecting Talents",10-11,"Learning how to develop discovered talents through practice, training, and dedication; understanding talent development process"
Jss 1,Calvary Term,3,Civic Education,"Natural and Human Resources",10-11,"Understanding that nation's wealth comes from natural resources (minerals, oil) and human resources (people's talents and skills)"
Jss 1,Calvary Term,4,Civic Education,"Citizenship: Meaning and Concept",10-11,"Understanding citizenship as membership of a nation based on laid down conditions and legal requirements"
Jss 1,Calvary Term,5,Civic Education,"Types of Citizenship",10-11,"Learning three types: citizenship by birth, citizenship by registration, and citizenship by naturalization"
Jss 1,Calvary Term,6,Civic Education,"Process of Becoming a Citizen",10-11,"Understanding procedures and requirements for becoming citizen of a country through birth, registration, or naturalization"
Jss 1,Calvary Term,7,Civic Education,"Rights of Citizens",10-11,"Understanding citizens' rights: right to education, right to life, right to opinion/freedom of expression, voting rights"
Jss 1,Calvary Term,8,Civic Education,"Duties of Citizens",10-11,"Learning citizens' duties: paying taxes, obeying laws, respecting national symbols, defending the country"
Jss 1,Calvary Term,9,Civic Education,"Differences Between Rights and Duties",10-11,"Understanding distinction between what citizens are entitled to (rights) and what citizens must do (duties) for society"
Jss 1,Calvary Term,10,Civic Education,"Importance of Rights and Duties",10-11,"Learning why rights and duties are important for social control, peace, due process, discipline in society"
Jss 1,Summer Term,1,Civic Education,"National Symbols: Coat of Arms",10-11,"Understanding Nigerian coat of arms; learning meaning of features like eagle, black shield, white horses, Y-shaped band"
Jss 1,Summer Term,2,Civic Education,"National Symbols: Flag and Currency",10-11,"Understanding Nigerian flag colors (green-white-green); learning about Nigerian currency (Naira and Kobo) as national symbols"
Jss 1,Summer Term,3,Civic Education,"National Anthem",10-11,"Learning and understanding Nigerian National Anthem; identifying unifying goals and values expressed in the anthem"
Jss 1,Summer Term,4,Civic Education,"National Pledge",10-11,"Learning and understanding Nigerian National Pledge; recognizing commitment to nation, unity, and service in the pledge"
Jss 1,Summer Term,5,Civic Education,"Purpose of National Unity Institutions",10-11,"Understanding why Nigeria established NYSC (National Youth Service Corps), Unity Schools, Federal Character to promote national unity"
Jss 1,Summer Term,6,Civic Education,"Government Measures for National Unity",10-11,"Learning how government promotes unity through institutions, policies, and programs that bring Nigerians together"
Jss 1,Summer Term,7,Civic Education,"Constitutional Provisions for Unity",10-11,"Understanding parts of Nigerian Constitution that promote national consciousness, unity, and integration among diverse groups"
Jss 1,Summer Term,8,Civic Education,"Individual Ways of Promoting National Unity",10-11,"Learning how individuals can promote unity: through tolerance, hospitality, non-discrimination, respecting diversity"
Jss 1,Summer Term,9,Civic Education,"Group Ways of Promoting National Unity",10-11,"Understanding how groups and communities can promote unity through inter-marriage, cultural exchange, cooperation, peaceful coexistence"
Jss 1,Summer Term,10,Civic Education,"Practical Steps for National Unity",10-11,"Applying learned values: practicing tolerance, cooperation, self-reliance, honesty, and respect for national symbols for united Nigeria"
