class,term,week,subject,topic,agegroup,context
Jss 1,Noel Term,1,Agriculture,"Importance of Agriculture in Society",10-11,"Understanding agriculture as source of food, clothing, employment, raw materials for industries; recognizing agriculture's role in economy"
Jss 1,Noel Term,2,Agriculture,"Types of Agricultural Practices",10-11,"Learning different types: pastoral farming (rearing animals), arable farming (crop cultivation), mixed farming (crops and animals)"
Jss 1,Noel Term,3,Agriculture,"Forms of Agricultural Activities",10-11,"Understanding various activities: growing crops, rearing livestock, fish farming, processing farm produce, storing agricultural products"
Jss 1,Noel Term,4,Agriculture,"Crop Plant Forms: Monocotyledons",10-11,"Learning monocotyledonous crops (one seed leaf): maize, rice, guinea corn, millet, wheat; identifying their characteristics"
Jss 1,Noel Term,5,Agriculture,"Crop Plant Forms: Dicotyledons",10-11,"Learning dicotyledonous crops (two seed leaves): beans, groundnut, melon, cowpea, soybean; identifying their features"
Jss 1,Noel Term,6,Agriculture,"Classification of Crops by Life Span",10-11,"Understanding annuals (complete life cycle in one year: maize, yam, rice) and perennials (live many years: cocoa, mango, oil palm)"
Jss 1,Noel Term,7,Agriculture,"Uses of Crops: Food Crops",10-11,"Learning crops used as food: cereals (maize, rice), tubers (yam, cassava), pulses (beans), fruits, vegetables for nutrition"
Jss 1,Noel Term,8,Agriculture,"Uses of Crops: Cash and Industrial Crops",10-11,"Understanding crops for income and industry: oil crops (palm, groundnut), beverage (cocoa, coffee), fiber (cotton), latex (rubber)"
Jss 1,Noel Term,9,Agriculture,"Nutrients from Crops",10-11,"Learning nutrients crops provide: carbohydrates (energy), proteins (body building), fats and oils, vitamins, minerals for health"
Jss 1,Noel Term,10,Agriculture,"Practical Classification of Crops",10-11,"Hands-on practice sorting and classifying actual crop samples by forms (mono/dicot), life span (annual/perennial), and uses"
Jss 1,Calvary Term,1,Agriculture,"Types of Farm Animals",10-11,"Identifying farm animals: work animals (oxen, horses), dairy animals (cows, goats), poultry (chickens, turkeys), aquatic (fish), pets"
Jss 1,Calvary Term,2,Agriculture,"Basic Characteristics of Farm Animals",10-11,"Learning to identify farm animals by external features: body covering, number of legs, body shape, size, color patterns"
Jss 1,Calvary Term,3,Agriculture,"Classification by Size and Habitat",10-11,"Classifying animals by size (large: cattle, horses; small: rabbits, chickens) and habitat (aquatic: fish; terrestrial: land animals)"
Jss 1,Calvary Term,4,Agriculture,"Classification by Stomach Type",10-11,"Understanding ruminants (cattle, goats, sheep with multi-chambered stomach) and non-ruminants (pigs, poultry with simple stomach)"
Jss 1,Calvary Term,5,Agriculture,"Uses of Farm Animals",10-11,"Learning animal uses: food (meat, milk, eggs), work (plowing, transport), sports and guard, hides and skin, manure for crops"
Jss 1,Calvary Term,6,Agriculture,"Characteristics of Weeds",10-11,"Understanding weed features: fast growth, easy dispersal (wind, animals, water), long seed dormancy, competitive with crops"
Jss 1,Calvary Term,7,Agriculture,"Uses of Weeds and Control Methods",10-11,"Learning beneficial uses: medicinal plants, food (spinach-like weeds); control methods: hand pulling, hoeing, crop rotation, herbicides"
Jss 1,Calvary Term,8,Agriculture,"Effects of Weed Control on Environment",10-11,"Understanding environmental impacts: herbicides can pollute soil and groundwater, contaminate livestock pasture, affect beneficial organisms"
Jss 1,Calvary Term,9,Agriculture,"Classification of Insect Pests",10-11,"Learning pest types by feeding: piercing and sucking insects (aphids, bugs) and biting and chewing insects (grasshoppers, caterpillars)"
Jss 1,Calvary Term,10,Agriculture,"Damage by Pests and Effects on Yield",10-11,"Understanding pest damage: holes in leaves, wilting plants, stunted growth, reduced crop yield, quality deterioration, economic losses"
Jss 1,Summer Term,1,Agriculture,"Factors of Production: Land",10-11,"Understanding land as basic factor: includes soil, minerals, water bodies; importance for growing crops and grazing animals"
Jss 1,Summer Term,2,Agriculture,"Factors of Production: Labour",10-11,"Learning about human effort in farming: planting, weeding, harvesting; skilled and unskilled labor; importance of workforce"
Jss 1,Summer Term,3,Agriculture,"Factors of Production: Capital",10-11,"Understanding money and assets for farming: purchasing inputs (seeds, fertilizers), farm tools, machinery, buildings, working capital"
Jss 1,Summer Term,4,Agriculture,"Factors of Production: Water",10-11,"Learning water's importance: crop irrigation, animal drinking, processing farm produce, essential for all agricultural activities"
Jss 1,Summer Term,5,Agriculture,"Factors of Production: Management",10-11,"Understanding farm management: planning, organizing, decision-making, supervising workers, record keeping, marketing produce"
Jss 1,Summer Term,6,Agriculture,"Importance of Each Production Factor",10-11,"Understanding how each factor contributes: land provides space, labor provides work, capital provides resources, water sustains life, management coordinates all"
Jss 1,Summer Term,7,Agriculture,"School Farm: Planning and Layout",10-11,"Practical planning of school farm: selecting site, clearing land, marking plots, deciding what crops to plant, tool preparation"
Jss 1,Summer Term,8,Agriculture,"School Farm: Land Preparation",10-11,"Hands-on practice: clearing vegetation, tilling soil, making beds or ridges, applying manure, preparing land for planting"
Jss 1,Summer Term,9,Agriculture,"School Farm: Planting and Maintenance",10-11,"Practical activities: seed selection, planting at correct spacing and depth, watering, weeding, observing crop growth stages"
Jss 1,Summer Term,10,Agriculture,"Integrating Agricultural Knowledge",10-11,"Applying learned concepts: identifying crop types planted, managing pests and weeds, understanding factor inputs, observing animal care practices"
