class,term,week,subject,topic,agegroup
Year 1,Summer Term,1,Moral Instructions,Honesty,5-6
Year 1,Summer Term,2,Moral Instructions,Kindness,5-6
Year 1,Summer Term,3,Moral Instructions,My duties at home,5-6
Year 1,Summer Term,4,Moral Instructions,Obedience to parents and elders,5-6
Year 1,Summer Term,5,Moral Instructions,Patience,5-6
Year 1,Summer Term,6,Moral Instructions,Taking turns,5-6
Year 1,Summer Term,7,Moral Instructions,My duties at school,5-6
Year 1,Summer Term,8,Moral Instructions,Obeying school rules and instructions from my teacher,5-6
Year 2,Summer Term,1,Moral Instructions,Conscience,6-7
Year 2,Summer Term,2,Moral Instructions,Understanding right and wrong,6-7
Year 2,Summer Term,3,Moral Instructions,Making a total child - Physical development - Spiritual development - Academic development,6-7
Year 2,Summer Term,4,Moral Instructions,"Dangers of examination malpractices, lying and stealing",6-7
Year 2,Summer Term,5,Moral Instructions,Justification by faith,6-7
Year 2,Summer Term,6,Moral Instructions,Diligence,6-7
Year 2,Summer Term,7,Moral Instructions,"Raw materials: definition of raw materials, sources of raw materials",6-7
Year 2,Summer Term,8,Moral Instructions,"Things seen in offices, homes different materials and their uses",6-7
Year 2,Summer Term,9,Moral Instructions,Obedience,6-7
Year 3,Summer Term,1,Moral Instructions,Spending time wisely,7-8
Year 3,Summer Term,2,Moral Instructions,Self reliance,7-8
Year 3,Summer Term,3,Moral Instructions,Anger and fear,7-8
Year 3,Summer Term,4,Moral Instructions,Voluntary service,7-8
Year 3,Summer Term,5,Moral Instructions,Responsibility,7-8
Year 3,Summer Term,6,Moral Instructions,Participating in different projects and games,7-8
Year 3,Summer Term,7,Moral Instructions,Table manners,7-8
Year 3,Summer Term,8,Moral Instructions,Participating in different projects and games,7-8
Year 4,Summer Term,1,Moral Instructions,Love and honesty for people and country,8-9
Year 4,Summer Term,2,Moral Instructions,Ability to build up confidence,8-9
Year 4,Summer Term,3,Moral Instructions,Identification and acceptance of problem,8-9
Year 4,Summer Term,4,Moral Instructions,Forgiveness,8-9
Year 4,Summer Term,5,Moral Instructions,Passive and bad citizens,8-9
Year 4,Summer Term,6,Moral Instructions,Active and good citizen,8-9
